Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%),Wavelength (nm),Transmittance (%)
 407.2 , 20.2589093670914 , 405.85 , 19.4484624321209 , 408.228571428571 , 15.9485749648404 , 403.6 , 14.3166808781642 , 404.763076923077 , 12.6017498959058 , 404.763076923077 , 13.4124233758967 , 406.171428571429 , 19.4932562865384 , 406.685714285714 , 19.9396365479664 , 405.2 , 21.5341752167725 , 403.152662721893 , 15.11002369998 , 403.323076923077 , 13.8249877638177 , 408.1 , 17.3706506238125 , 408.1 , 17.3340905190429 , 402.627218934911 , 16.9336015830568 , 403.152662721893 , 15.184037602542 , 406.685714285714 , 22.5844064678214 , 406.685714285714 , 19.3806842181825 , 405.85 , 20.4186413844587 , 407.2 , 21.2854950401114 , 403.6 , 14.2099201059989 , 405.85 , 19.3028851252482 , 405.4 , 21.3069633802237 , 402.769230769231 , 15.0629181007793 , 402.88 , 14.32461957604 , 404.581818181818 , 22.3706698035646 , 405.85 , 20.8603440010563 , 404.763076923077 , 13.0188331717464 , 406.685714285714 , 20.2430737986541 , 402.769230769231 , 16.8528550121993 , 408.1 , 18.6719780460306 
 407.6 , 21.2966413016185 , 406.3 , 20.7135835871043 , 408.742857142857 , 16.9547993770191 , 403.916483516484 , 14.8269561832737 , 405.04 , 13.0027192229985 , 405.04 , 13.8529146610473 , 406.685714285714 , 20.8202904340622 , 407.2 , 21.4168587250588 , 405.6 , 22.6006560960996 , 403.323076923077 , 15.4256747838392 , 403.6 , 14.2547575038426 , 408.55 , 18.3687347835203 , 408.55 , 18.4484819093591 , 402.769230769231 , 17.2221336428477 , 403.323076923077 , 15.5326760614074 , 407.2 , 23.9490464706032 , 407.2 , 20.6612655159214 , 406.3 , 21.5722844900666 , 407.6 , 22.2222853839239 , 403.969230769231 , 14.7908036334377 , 406.3 , 20.5165433890325 , 405.85 , 22.4872000571262 , 403 , 15.5373490676261 , 403.152662721893 , 14.8521246066521 , 404.909090909091 , 23.4314298648882 , 406.3 , 22.1028508234955 , 405.04 , 13.4407754513351 , 407.2 , 21.5266125271401 , 403 , 17.3305273974671 , 408.55 , 19.7662355764625 
 408 , 22.3899708351578 , 406.75 , 22.0673976147202 , 409.257142857143 , 18.0384026618433 , 404.114285714286 , 15.1577034086805 , 405.483076923077 , 13.6814227417807 , 405.483076923077 , 14.5899047768822 , 407.2 , 22.2366827513933 , 407.56 , 22.5145994538806 , 406 , 23.7170158676899 , 403.6 , 15.9561901501814 , 403.916483516484 , 14.7672970619407 , 409 , 19.4340935234688 , 409 , 19.6408678574848 , 403 , 17.7023017573873 , 403.6 , 16.1205508979819 , 407.56 , 24.9521426628047 , 407.56 , 21.6079956362745 , 406.75 , 22.7882319350723 , 408 , 23.1962976628 , 404.2 , 15.169916618823 , 406.75 , 21.8082021660064 , 406.3 , 23.7300585608197 , 403.227218934911 , 16.0219319340685 , 403.323076923077 , 15.1937552622439 , 405.236363636364 , 24.5422461292145 , 406.75 , 23.4092447502061 , 405.312662721894 , 13.8752270858501 , 407.6 , 22.5747875128095 , 403.227218934911 , 17.815871108268 , 409 , 20.9274361467334 
 408.4 , 23.5391242663122 , 407.2 , 23.5124850871628 , 409.771428571429 , 19.2032235462947 , 404.430769230769 , 15.7062924305501 , 405.76 , 14.129703570493 , 405.76 , 15.0706020868211 , 407.56 , 23.2816073503158 , 407.92 , 23.6645818382759 , 406.4 , 24.8825582855699 , 403.876923076923 , 16.5090213753886 , 404.114285714286 , 15.099535399995 , 409.45 , 20.5692269907959 , 409.45 , 20.9137178254729 , 403.227218934911 , 18.188869390508 , 403.876923076923 , 16.7355875960406 , 407.92 , 25.9937020459137 , 407.92 , 22.5963244480929 , 407.2 , 24.065818124014 , 408.4 , 24.2066622477927 , 404.569230769231 , 15.8030180486141 , 407.2 , 23.1786962035278 , 406.75 , 25.0349494364771 , 403.369230769231 , 16.3337636432507 , 403.6 , 15.7690426873206 , 405.563636363636 , 25.7034411153861 , 407.2 , 24.7765592694474 , 405.483076923077 , 14.1566514184349 , 408 , 23.6654535485129 , 403.369230769231 , 18.1268363985343 , 409.45 , 22.1562017659324 
 408.8 , 24.7436694985732 , 407.5 , 24.5274442413313 , 410.285714285714 , 20.4526807775451 , 404.628571428571 , 16.0615223218379 , 406.032662721893 , 14.5898192646561 , 406.032662721893 , 15.5588379704227 , 407.92 , 24.3702480147892 , 408.28 , 24.8658922378562 , 406.8 , 26.0959347486563 , 404.05 , 16.8661414396568 , 404.430769230769 , 15.6506928347552 , 409.9 , 21.7761970713258 , 409.9 , 22.2687452748646 , 403.369230769231 , 18.4999677329268 , 404.05 , 17.1341423508847 , 408.28 , 27.072366243839 , 408.28 , 23.6260036060252 , 407.56 , 25.1312132084582 , 408.8 , 25.2520729434653 , 404.8 , 16.2156788563262 , 407.527272727273 , 24.2248248476048 , 407.2 , 26.4003857785223 , 403.6 , 16.8554695372003 , 403.876923076923 , 16.3699214643245 , 405.890909090909 , 26.914870767621 , 407.56 , 25.9112969719379 , 405.76 , 14.6307195253518 , 408.4 , 24.7969231785569 , 403.6 , 18.644729645123 , 409.9 , 23.4522608744136 
 409.2 , 26.0023856399848 , 407.8 , 25.5839301939467 , 410.8 , 21.7895714715523 , 404.945054945055 , 16.6500222842084 , 406.203076923077 , 14.8870461218498 , 406.203076923077 , 15.8714079170177 , 408.28 , 25.5018600025479 , 408.64 , 26.1168296380885 , 407.2 , 27.355050954671 , 404.326923076923 , 17.4564996666036 , 404.628571428571 , 16.0076810876806 , 410.35 , 23.0564780559062 , 410.35 , 23.7066805588696 , 403.6 , 19.0170324320136 , 404.326923076923 , 17.795026632355 , 408.64 , 28.186227609679 , 408.64 , 24.6963766674413 , 407.92 , 26.23370616577 , 409.2 , 26.3307366291712 , 405.027218934911 , 16.6350324107023 , 407.854545454545 , 25.3119790346765 , 407.527272727273 , 27.4300616066856 , 403.846153846154 , 17.4327411167496 , 404.05 , 16.7587878686225 , 406.218181818182 , 28.1758951216589 , 407.92 , 27.0790690105669 , 406.032662721893 , 15.1183946094276 , 408.8 , 25.9668296658052 , 403.876923076923 , 19.2868028414659 , 410.35 , 24.8142521336931 
 409.6 , 27.313125860791 , 408.1 , 26.6818719534211 , 411.16 , 22.7784966115705 , 405.142857142857 , 17.030650684027 , 406.48 , 15.3862109560327 , 406.48 , 16.3912730747689 , 408.64 , 26.6751986344527 , 409 , 27.4147891466936 , 407.527272727273 , 28.4172385279143 , 404.5 , 17.8375303304046 , 404.945054945055 , 16.5993264094416 , 410.8 , 24.4107858190053 , 410.8 , 25.2270190874197 , 403.846153846154 , 19.5843487066955 , 404.5 , 18.2228478766489 , 409 , 29.3327698834077 , 409 , 25.8063213430794 , 408.28 , 27.371459203667 , 409.6 , 27.4403244075205 , 405.169230769231 , 16.9038205148725 , 408.181818181818 , 26.4391718596457 , 407.854545454545 , 28.4890943659789 , 404 , 17.8045963620572 , 404.326923076923 , 17.4027637783698 , 406.545454545455 , 29.4853037952313 , 408.28 , 28.2760212833862 , 406.203076923077 , 15.4340403784965 , 409.2 , 27.1720566779048 , 404.05 , 19.6995025895894 , 410.8 , 26.2395185621519 
 410 , 28.6726781438251 , 408.4 , 27.8208836731145 , 411.52 , 23.8115796744634 , 405.459340659341 , 17.6605234015542 , 406.752662721894 , 15.8976248819794 , 406.752662721894 , 16.9172010892869 , 409 , 27.8884588192894 , 409.36 , 28.7561486805753 , 407.854545454545 , 29.5060380002251 , 404.776923076923 , 18.4667943208959 , 405.142857142857 , 16.9821819587063 , 411.127272727273 , 25.4421427109125 , 411.1 , 26.2854357121912 , 404 , 19.9472008223825 , 404.670414201183 , 18.6553721840909 , 409.36 , 30.5088130622131 , 409.36 , 26.9541913573487 , 408.64 , 28.5420846694715 , 410 , 28.577926173146 , 405.4 , 17.3517406359556 , 408.509090909091 , 27.6049276788876 , 408.181818181818 , 29.5757724341677 , 404.246153846154 , 18.4174919259302 , 404.5 , 17.8191065754157 , 406.872727272727 , 30.8412404883669 , 408.64 , 29.4975112423756 , 406.48 , 15.965277953006 , 409.6 , 28.408674991127 , 404.326923076923 , 20.3779694373026 , 411.127272727273 , 27.3135083775854 
 410.4 , 30.0766302997061 , 408.7 , 29.0002234186015 , 411.88 , 24.8888380805198 , 405.657142857143 , 18.0673935477017 , 406.923076923077 , 16.2274661961297 , 406.923076923077 , 17.2527536638556 , 409.36 , 29.139216687678 , 409.72 , 30.1361651948203 , 408.181818181818 , 30.6189457173106 , 404.95 , 18.872485284247 , 405.337616229924 , 17.369170683435 , 411.454545454545 , 26.512090575521 , 411.4 , 27.3785956369616 , 404.246153846154 , 20.5409883339668 , 404.776923076923 , 18.9314233874691 , 409.72 , 31.7104655227134 , 409.72 , 28.1377598001077 , 409 , 29.7426035785893 , 410.4 , 29.740010854097 , 405.627218934911 , 17.8064238026579 , 408.836363636364 , 28.807230496042 , 408.509090909091 , 30.6880045672881 , 404.4 , 18.8118570337305 , 404.670414201183 , 18.239623521925 , 407.2 , 32.241128960213 , 409 , 30.7380930148776 , 406.752662721894 , 16.5111042251459 , 410 , 29.6718903207732 , 404.5 , 20.8132530264805 , 411.454545454545 , 28.4166455317907 
 410.8 , 31.5192474662542 , 409 , 30.2187516367755 , 412.24 , 26.0099060802808 , 405.85190194421 , 18.4780228826788 , 407.2 , 16.7804370664813 , 407.2 , 17.8087830720412 , 409.72 , 30.4243758313345 , 410.08 , 31.5488881419069 , 408.509090909091 , 31.7529930015571 , 405.226923076923 , 19.5417562760109 , 405.459340659341 , 17.6161537330006 , 411.781818181818 , 27.6197974696938 , 411.7 , 28.5050867607401 , 404.4 , 20.9203397689582 , 404.95 , 19.3895085717869 , 410.08 , 32.9330868599225 , 410.08 , 29.354166279526 , 409.36 , 30.969411450405 , 410.8 , 30.9223948854492 , 405.769230769231 , 18.0975634545558 , 409.163636363636 , 30.0434760225815 , 408.836363636364 , 31.8232994247405 , 404.646153846154 , 19.4610702085817 , 404.776923076923 , 18.5078084685365 , 407.457142857143 , 33.3697116116018 , 409.36 , 31.9915253248183 , 406.923076923077 , 16.8640127787595 , 410.4 , 30.9560068567786 , 404.670414201183 , 21.2501798866337 , 411.781818181818 , 29.5462630185434 
 411.127272727273 , 32.7233755542049 , 409.3 , 31.4748904091728 , 412.6 , 27.1739746797783 , 405.973626373626 , 18.7397429430168 , 407.516483516484 , 17.438436239303 , 407.427218934911 , 18.274467595789 , 410.08 , 31.74012105563 , 410.44 , 32.9870989750695 , 408.836363636364 , 32.9047293671502 , 405.4 , 19.9727699186237 , 405.657142857143 , 18.025993678192 , 412.109090909091 , 28.7640186572392 , 412 , 29.6630746924167 , 404.646153846154 , 21.540381999508 , 405.120414201183 , 19.852152087536 , 410.44 , 34.171265224476 , 410.44 , 30.5998705994712 , 409.72 , 32.2182540523754 , 411.2 , 32.120221717191 , 406 , 18.582208584284 , 409.490909090909 , 31.3104298455849 , 409.163636363636 , 32.9787497525444 , 404.8 , 19.878235686208 , 404.95 , 18.9525079690648 , 407.714285714286 , 34.5213682183664 , 409.72 , 33.2508060548332 , 407.2 , 17.457262902361 , 410.8 , 32.2544113673879 , 404.776923076923 , 21.5273825254318 , 412.109090909091 , 30.6991529598031 
